,Bcl11b,Cadps2,Calb1,Calb2,Cck,Cdh13,Chodl,Chrm2,Cnr1,Col25a1,Cort,Cox6a2,Cplx2,Cpne5,Crh,Crhbp,Cryab,Cxcl14,Enpp2,Gabrd,Gad1,Gda,Grin3a,Hapln1,Htr3a,Id2,Kcnk2,Kctd12,Kit,Lamp5,Lhx6,Ndnf,Neurod6,Nos1,Nov,Npy2r,Nr4a2,Nrn1,Ntng1,Pcp4,Pde1a,Penk,Plcxd2,Plp1,Pnoc,Prkca,Pthlh,Pvalb,Rab3c,Rasgrf2,Reln,Rgs10,Rgs12,Rgs4,Satb1,Sema3c,Serpini1,Slc17a8,Snca,Sncg,Sst,Synpr,Tac1,Tac2,Th,Thsd7a,Trp53i11,Vip,Wfs1,Yjefn3
cell_69,0.000150589,1.03E-09,0,0,0,0.653951574,0,0.493293237,0.193740053,0.002746309,0,0,0.616829847,0,0,0,12.67523726,0.063041521,3.936562442,0,0.653834577,0,0,0,0,0,0,0,0,0,1.061990138,0,0,0,0,0,0,0,0,0.002695227,0.293213647,0.000117971,0,18.44127336,0,0,0,0.000736451,0.000522163,0,0.011662005,0,0,0.051953581,0.036342748,0.135757319,0.380769839,0,0.080789891,3.90E-08,0,0,0,0,0,0.24931235,0,0,0.860274408,0
cell_70,0,0,0,1.01E-10,3.01E-10,0.887034256,0,0.823234192,1.938571257,0,0,0,0.02310555,0,0,0,5.71E-07,2.65E-05,7.55E-08,0,6.05E-07,0,0,0,0,2.73E-09,0,0,0,0,4.808543501,6.05E-05,0,0,0,0,0,0,0,3.887916853,0.967981502,3.23E-05,0,0.972338949,2.996503935,0,8.61E-07,0,0,0,2.25E-08,0,0,1.499994044,0.944972054,0,0.931256917,0,2.681733891,1.658587823,0,0,0,0,0,0,0,0,0,0
cell_71,0,0,0,1.08E-06,0,0,0,0,0.001321444,0,0,0,0.026367697,3.15E-06,0,0,3.164666263,0.979773486,1.948216844,0,0.001530566,0,0.104688237,0,0,0.835567521,0,0,0,0,3.187916449,0,0,0,0,0,0,0,6.47E-06,2.24E-05,0.028365286,0.000173937,0,1.942282845,0.000222551,0.110851124,0.002205317,0.001076242,0,0,2.25E-06,0.9853031,0,0.000552189,0.003187476,0,0,0,0.923084987,0.002700872,0.000294294,0,0,0,0,4.46E-07,0,0,0,0
cell_72,0,0,0,0,0,0,0,0,0,0,0,0,0.659395405,0,0,0,10.0509261,0.113505282,4.934050471,0,0.022365459,0,3.05E-06,0,0,0.005131151,0,0,0,0,0.37978232,0,0,0,0,0,0,0,0,0,0.048650213,0,0,26.24763777,0.360123918,0.944082441,0,0,0,0,0.608983058,3.98E-06,0,8.60E-05,0.051597416,0.034752945,0,0,8.06E-08,0,0.758528579,0,0,0,0,0,0,0,0.005392189,0
cell_73,0.007379011,0.000294224,0,0,0,0.003196133,0,0.004151911,0.000154201,0,1.73E-11,0,1.829865131,0,0,0,0.111576571,0.598739729,0.013225061,0,0.04452914,0,0,0,0,0.136787888,0,0,0,0,4.910629921,0,0,0,0,0,0,0,0,0.980274242,0,0.001165055,1.10E-06,0.298661773,0,0,0,0.02189016,0.0008221,0,0.937154842,0.001165619,0,0.014519516,0.2824463,1.92E-09,0.000257038,0,0.863970409,0.001851731,0,0,0,0,0,0.005000516,1.22E-11,0,2.524838514,0
cell_74,0,0,0,0,0,3.44E-11,0,0,2.37E-07,0,0,0,0.837310624,0,0,0,8.521194202,0.755990448,0,0,0.966838118,0,0,0,0,0.010784075,0,0,0,0,0.000725645,0.002406682,0,0,0,0,0,0.023728402,0,0,1.911104501,0.276781696,0.00016341,0.006695831,1.52E-06,2.30E-05,0,0.00543648,0,0,0.002080606,0.00263947,0,1.392860944,0.000967874,0,0.006647435,0,0.007641254,0.000101278,0,0,0,0,0,0.003021111,0,0,0.04136392,0
cell_75,0,0,0,0,0,0,0,0,0.009803046,0.214674433,0,0,0.686699453,0,0,0,1.247077404,0.000499663,0,0,0,0,0,0,0,0,0,0.4838756,0,0,0.816995673,0,0,0,0,0,0,0,0,0.701687557,0,0.00200757,0.000964641,0.001298926,0.044536626,0,0.00013463,0,0,0,0.013342543,1.77E-07,0,0.00104243,0,0,0.002080046,0,0.152887054,0.030010058,0,0.834952094,0,0,0,0.022584641,0,0,0,0
cell_76,0,0,0,0,0,0.693956687,0,2.98E-09,0.686356778,0,0,0,0.960607255,0,0,0,3.435999117,0.392625276,0,0,0.943623291,0,0,0,0,0,0,0.735554135,0,0,1.914391864,1.792013253,0,0,0,0,0,0,0,0.000699358,2.84E-06,0.287022168,0,0.000431924,1.87E-05,0,0.760734966,0,0,0,0.114968266,1.066639539,0,2.36E-05,0.959932933,0,0.874539225,0,0.978486517,6.26E-07,0,5.53E-06,0,0,0,0,0,0,0,0
cell_77,0,6.40E-05,0,1.975214315,0,0,0,0,3.029853346,0,0,0,1.00E-04,0.963149799,0,0,1.493444636,0.055317933,0.979273563,0,2.978598786,0,2.32E-10,5.38E-06,0,0,0,0,0,0,5.900566262,0,0,0,0,0,0,0,0.95493631,2.865910103,3.957365699,2.012742858,0,2.007218982,0,0,0.53216326,2.332690229,0,0,0.935894186,0.840520126,0,0,7.851748593,5.47E-07,0.946199166,0,0,0.704505245,3.66E-10,0,0.981746477,0,0,0.9423202,0,0,0.000380974,0
cell_78,0,5.31E-07,0,0,0,2.46E-07,0,0,1.62E-07,0,0,0,0.944352534,0,0,0,3.069394456,0.8753947,0,0,0.002185306,0,0,0,0,0.91997206,0,0.045341412,0,0,2.049144529,7.72E-05,0,0,0,0,0,0,1.40E-08,0,0.049512509,0.032278678,0,1.970456054,0,0.889675717,0,0.343075055,6.51E-14,0,0.968279484,1.942961548,0,1.414439612,2.95009967,0,1.930237093,0,1.11830267,0.002680637,0,0,0,0,0,0.950372082,0,0,5.21E-10,0
cell_79,0.181814633,0.886670776,0,1.975398185,0,0.343838763,0,0.00032743,4.657900304,0,0.002590996,0.933707382,4.844930451,0.964651158,0,0,0.975374497,6.92E-05,0.906379545,0,2.815623655,0,0.955915494,0.003082614,0,6.13E-05,0,0,0,0,7.900232807,0,0,0,0,0,0,0,0,3.388823684,1.57152541,0.058967642,0.000258083,3.252524285,0,0,0,0.099007543,0.453266533,0,1.941319143,0.976999251,0,0.406331671,3.820414581,1.050063674,0.166580974,0,3.298154802,0,1.810776874,0,0.079556715,0,0,0.060338081,0.965521554,0,0.97005448,0
