,Calb2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Plp1_class,Rgs4_class,Satb1_class,Sncg_class,Zero
Pthlh,0.04292909823278255,0.030700476966599975,0.013688096657618954,0.003450449917043138,0.006937948420041674,0.12346853888204216,0.0533786073062507,0.006681369817142625,0.0,0.0,0.0028440706965584027,0.0,0.008069976691770354
Pvalb,0.40289924867272414,0.2999337377277861,7.555259116613726,0.9584575131048015,5.042569538877031,0.8775406172934506,0.7590912049659281,0.23893021744287438,0.029424222955210126,0.1900142580367786,0.9282908645319058,0.26981025331767655,0.06671582892488497
Rab3c,0.09950233132837183,0.0746663729527419,0.09639950476472271,0.15363142838848332,0.18564680675994114,0.07186518719873054,0.05275738185818722,0.20134849120177867,0.252763219746775,0.12453116456182228,0.15014250119319084,0.4590589718588316,0.028919994977076195
Rasgrf2,0.2000861586815028,0.0202974101612402,0.0502048935507926,0.014839909294993254,0.1249825222880456,0.0002881365214251427,0.055309500969099416,0.33267227205843064,0.0,0.09407653115419724,0.052441126869134096,0.6419261270739028,0.005522607286566125
Reln,1.7858950511497242,0.4724354206591126,1.6177210411705742,1.6547175682592912,2.4267049106099523,2.389783213504028,4.125276939700564,3.3018132345266458,2.8040073755021493,2.794268827825438,1.7692714416615707,3.8207639347762155,0.11092690744619892
Rgs10,1.4415126090963248,0.5241204940632059,1.2818574665141107,1.7780979881952412,1.1842269897963478,1.5131372269850312,1.5864796786329314,2.9454326096757466,3.2605489146386857,2.6406888723445467,1.2822372420420651,3.6623280624444323,0.0936457651081272
Rgs12,0.04024139796613191,0.030895062949336794,0.008976153924056481,0.051597005327969014,0.11045023923250068,0.017976408710712852,0.11335163934381758,0.0609282206918602,1.5608905978402203,0.2058305090997946,0.06007916110961408,0.06479654854812654,0.02545552959567557
Rgs4,3.1020881817416757,0.7813650107374706,1.8588361258449224,1.6987519985854218,3.1534318527406704,0.6381371777602957,2.5261334259704014,4.531801210922288,4.017093944637741,1.102058569283707,1.652974292436721,1.5759001450104326,0.17465189662377273
Satb1,0.6480664642796896,0.58977900912885,2.7155083410558807,1.6376580123268063,3.084174943705291,3.2316971660938587,2.220322187664244,2.431402479567444,2.786103373245184,0.00373428286247091,2.707541267392995,0.2704875685911902,0.11729391229697154
Sema3c,0.23227947711431765,0.10314984333646071,0.16781174200397939,0.2908045134869009,0.8108407056119663,0.5696046390310566,0.09864024400040099,0.27397587525354383,0.5435491279196533,0.18198499624113154,0.46931645948401274,0.406049250552218,0.035002650483373685
